word,word_count,x_coord,y_coord,rank
notemea,1851.0,1.5070539,2.0326605,418
atawhai,1800.0,2.7371788,2.1722572,419
pakanga,1780.0,3.072696,-0.036547676,420
wehi,1739.0,1.7144384,-0.9019669,421
marire,1800.0,-0.1937503,0.6998441,422
upoko,1867.0,4.735557,-1.8456095,423
oto,1661.0,-2.6679273,-1.0957569,424
kona,1703.0,1.3409675,0.934597,425
kohuru,1964.0,1.3769965,-0.5299559,426
taranaki,2815.0,7.0602603,-0.8526855,427
mata,1713.0,4.4163265,-3.1450422,428
koura,2023.0,2.0821402,-4.3531833,429
tokorua,1861.0,4.926003,-0.5632938,430
pito,1679.0,4.373174,-1.3525848,431
piki,1551.0,1.3365321,-4.355168,432
kuare,1682.0,-0.60323334,1.0440919,433
putake,1543.0,1.7688245,2.7912803,434
maero,1734.0,2.8476331,-3.131489,435
tirohia,1781.0,0.5920734,1.5436655,436
hai,1584.0,-0.17963839,-0.8751981,437
putu,2165.0,3.5234444,-4.6197343,438
tohunga,1686.0,2.3523717,-0.65284836,439
kiri,1790.0,3.0623393,-4.558844,440
hikurangi,2768.0,4.055997,4.2215257,441
nona,1549.0,-2.2101939,1.9888672,442
kotiro,1564.0,4.1075015,-0.2700011,443
waiata,2056.0,3.848415,-0.52092636,444
whakatika,1521.0,0.36481947,1.4665534,445
riwai,1897.0,3.606684,-6.3519015,446
pitihana,1614.0,0.51165754,5.5138226,447
kohatu,1576.0,4.0242796,-3.6148736,448
taima,1619.0,2.870293,1.5779247,449
otiia,2661.0,-0.83028096,-0.28610316,450
whakatakoto,1397.0,1.0989717,4.481925,451
waha,1555.0,3.8613026,-2.7348442,452
ingarani,1610.0,0.9700266,-1.0224562,453
pouaka,2357.0,4.1357455,-6.2515483,454
hoi,1692.0,-3.6600807,-1.8175808,455
ngaki,1340.0,1.1384367,-4.0896745,456
ngawari,1466.0,0.068257995,-3.8501868,457
hone,2471.0,8.967771,-1.8301404,458
aitua,1667.0,4.3878107,1.5626435,459
whitu,1890.0,-0.28302005,-6.135979,460
auo,1485.0,-3.1625783,-1.018222,461
whakaako,1430.0,1.6180356,1.2158715,462
tumuaki,1763.0,0.5350324,4.477557,463
utanga,1439.0,4.5188723,-4.6211915,464
oma,1420.0,3.0127785,-3.1225433,465
whanaunga,1668.0,4.3666816,1.3295096,466
rawhiti,1646.0,6.181829,1.7778946,467
kitenga,1340.0,2.2367623,0.26342025,468
pere,1692.0,6.30223,2.9651601,469
ingarihi,1470.0,4.705839,-0.41777855,470
tohutohu,1389.0,1.86372,3.3819168,471
tawhito,1579.0,0.7936064,2.2572649,472
whiriwhiri,1415.0,1.4826031,5.041709,473
awhina,1346.0,1.8184297,3.213003,474
hoe,1423.0,4.475174,-3.0500474,476
eki,1546.0,0.018138768,-5.556895,477
kapa,1620.0,0.7549538,-6.336419,478
tupato,1329.0,0.043472033,1.009605,479
purei,1569.0,1.3410863,-3.4947667,480
