word,word_count,x_coord,y_coord,rank
wehi,1739,-3.9213965,-1.9241087,447
taupo,1739,4.744627,-0.3938806,448
maero,1734,-4.086672,-4.8752246,449
pupuri,1733,-3.7089672,0.38510442,450
tumuaki,1725,1.0128628,4.3334785,451
kimi,1716,-2.8576384,1.0218377,452
marire,1715,-4.152642,0.5949139,453
mata,1713,-0.53201824,-4.3550057,454
henare,1710,5.58036,1.1152171,455
kona,1703,-0.08867144,0.13574743,456
hoi,1692,-5.8457265,3.6756775,457
tohunga,1686,-1.7272582,-1.9601724,458
kuare,1682,-4.5170674,-0.1850577,459
oto,1661,-4.9711695,3.9867585,460
rawhiti,1646,2.418552,1.6247654,461
huia,1645,1.2073175,1.582633,462
erua,1633,-6.306568,-3.5436916,463
kiri,1621,-1.2875453,-5.674102,464
taima,1619,-3.8597362,-3.5063677,465
pitihana,1614,0.80305314,4.034564,466
ingarani,1610,-5.182356,-2.8863075,467
pere,1602,2.7439175,2.678014,468
aitua,1593,-0.3412848,0.3925969,469
korimako,1591,1.1270895,1.7070762,470
hai,1584,-2.7325516,0.8011286,471
pito,1581,-2.1839774,-3.9541094,472
tawhito,1579,0.04414484,-0.88055617,473
kohatu,1576,-2.0795274,-5.0621896,474
kotiro,1564,0.36790314,-1.7136345,475
heretaunga,1556,2.560314,1.3560187,476
waha,1555,-1.1457357,-4.03375,477
piki,1551,-1.2266438,-3.1474876,478
karaiti,1550,-2.876829,-1.2614102,479
nona,1549,-4.1776686,0.47303176,480
eki,1546,-3.1024015,1.1808147,481
putake,1543,-1.1208637,0.100299686,482
pouaka,1541,2.6905415,-6.8541865,483
tauranga,1528,5.3230925,-2.1996396,484
aotearoa,1527,0.5666406,1.3778311,485
kanui,1521,-1.7275884,0.6194876,486
whakatika,1521,-1.1878034,-0.5474609,487
tiupiri,1512,1.5680631,2.2995336,488
moa,1492,-6.8728485,3.344091,489
hoani,1485,6.2669563,0.7350668,490
auo,1485,-5.499102,3.21097,491
kapa,1481,-6.1573753,-1.1357528,492
ingarihi,1470,-4.5452538,-4.7433143,493
ngawari,1466,-0.41937137,-3.5724685,494
arawa,1457,3.5490658,-0.06776455,495
karaitiana,1457,4.0120835,3.2594585,496
rata,1455,1.8528194,0.49505147,497
utanga,1439,2.6977298,-5.0426397,498
tawhiti,1433,-2.099311,-3.7306335,499
purei,1431,0.40991187,-2.2067447,500
whakaako,1430,-1.689638,0.061934553,501
whitu,1426,-6.1519394,-2.9706426,502
hoe,1423,-1.5037885,-3.840605,503
oma,1420,-1.1719438,-3.5704603,504
whiriwhiri,1415,-0.07098357,3.4702656,505
whanaunga,1409,-0.14769638,-0.37152228,506
whakatakoto,1397,-1.201742,3.435682,507
hau_hau,1395,-2.7815514,-2.6862688,508
paremete,1394,0.7495272,3.33053,509
tohutohu,1389,-1.6719826,2.4519746,510
waitangi,1388,-0.36343187,4.220932,511
mohi,1379,4.849675,1.9173489,512
nui_tireni,1368,-7.2195125,-0.030950943,513
tangaia,1366,-6.705577,0.2539683,514
huihuinga,1366,0.50433505,3.0039136,515
patua,1364,-4.1200414,-2.8279235,516
toto,1363,-1.6398727,-4.566415,517
ihu,1359,-2.1637375,-3.1741667,518
poa,1356,-4.071117,-4.54196,519
rahi,1352,-0.69771117,-4.6596785,520
awhina,1346,-2.1310954,1.6085726,521
ngaki,1340,-4.8883734,-1.5227373,522
kitenga,1340,-2.316272,-1.1700401,523
waru,1339,-6.263104,-2.9827406,524
hoa_riri,1332,-3.5864744,-3.7752388,525
tupato,1329,-3.841467,0.33462468,526
pihopa,1326,-0.7004038,-0.4979207,527
timatanga,1325,-0.6500202,1.3524144,528
moutere,1323,-4.149465,-4.25492,529
whakatikatika,1323,-0.5344526,3.7914145,530
ahuriri,1313,2.42816,-1.4204874,531
morehu,1306,0.65042776,0.50389475,532
taiepa,1300,0.031080555,-6.07825,533
tare,1298,-3.1664617,4.9055667,534
whakahokia,1287,-0.84753376,2.733995,535
arai,1282,-3.056341,1.5708618,536
tamati,1281,5.9942107,0.73177755,537
karaka,1279,4.107115,-2.8695436,538
pehea,1275,-4.249525,1.0606204,539
pene,1261,3.6509328,-4.291016,540
mauria,1260,-2.242767,-2.182398,541
wera,1259,-1.2467262,-4.981126,542
ota,1247,-1.1049105,4.8209906,543
hemi,1247,5.85358,0.8966781,544
tonga,1246,-2.799892,-5.233645,545
mamae,1246,-2.2176511,-2.1747196,546
ngati,1241,3.3071823,-0.24026299,547
matakitaki,1235,-1.6174499,-2.142348,548
whakaora,1220,-3.4465566,-0.92170084,549
piri,1220,-3.733321,-2.1060388,550
oneone,1214,-1.4635817,-6.397365,551
ahiahi,1205,1.1559592,-1.3095117,552
hokohoko,1197,-2.5990224,4.6551785,553
whakatau,1197,-0.19020505,4.284118,554
koro,1195,-0.50018066,0.47753382,555
haina,1187,-0.5706441,4.3070803,556
hohoro,1186,-4.4511676,0.1481503,557
whakawakia,1186,0.8419444,5.1348586,558
roia,1184,0.40910667,4.7423234,559
paraire,1172,2.1492264,-0.7424827,560
reti,1168,-1.6250284,5.8311396,561
kinga,1167,-0.34154993,1.608278,562
takai,1167,1.7781191,-6.857425,563
pou,1165,2.6653707,-4.0021114,564
ea,1164,-4.2678404,3.4861302,565
inai,1164,-5.035201,3.2001376,566
noaiho,1160,-0.57591486,-3.6534686,567
huka,1158,0.9678824,-6.576222,568
wiwi,1156,-4.6227508,-3.6957717,569
hira,1154,5.7469745,0.038459394,570
